Dupes
n,BlockSort,BubbleSort,CocktailShakerSort,CycleSort,ExchangeSort,HeapSort,InsertionSort,IntroSort,MergeSort,PatienceSort,QuickSortHoare,QuickSortLomuto,RadixSort,SelectionSort,ShellSort,SmoothSort,StrandSort,TimSort,TreeSort
8388608,FAILED,4713.5,842,4245.8,FAILED,876.9,765.8,2953.2,FAILED,FAILED,FAILED,FAILED,FAILED
16777216,FAILED,10264.9,1753.3,8720.6,FAILED,1767.1,1598.9,5832.9,FAILED,FAILED,FAILED,FAILED,FAILED
33554432,FAILED,22593.5,3616.8,19388,FAILED,3680.3,3317.1,11517.2,FAILED,FAILED,FAILED,FAILED,FAILED
67108864,FAILED,FAILED,7555.2,34277,FAILED,7599.2,6842.1,23148.7,FAILED,FAILED,FAILED,FAILED,FAILED
134217728,FAILED,FAILED,16151.3,65164.8,FAILED,15703,FAILED,45455,FAILED,FAILED,FAILED,FAILED,FAILED
268435456,FAILED,FAILED,FAILED,FAILED,FAILED,33413.8,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED

PartiallySorted
n,BlockSort,BubbleSort,CocktailShakerSort,CycleSort,ExchangeSort,HeapSort,InsertionSort,IntroSort,MergeSort,PatienceSort,QuickSortHoare,QuickSortLomuto,RadixSort,SelectionSort,ShellSort,SmoothSort,StrandSort,TimSort,TreeSort
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
128,0.3,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
256,0.1,0.2,0,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0,0.2,0.1,0,0
512,0,0.5,0.1,0.3,0,0,0,0,0.2,0.1,0.1,0,0.1,0.2,0.1,0.1,0.2,0,0.1
1024,0.1,0.6,0.6,1.7,0.3,0,0.1,0,0.1,0.1,0,0,0,0.2,0.2,0.6,0.1,0,0.1
2048,2.6,3.4,2.8,7.5,3,0.1,0.3,0,0.7,0.4,0.1,0.1,0.4,1.3,0.1,2.2,16.3,0.1,0.4
4096,0,16,13.4,35.7,18.1,0.3,2.1,0.1,1.1,0.8,0.2,0.2,0.8,6.1,0.3,8.1,38.1,0.1,0.8
8192,2.2,68.9,59.1,150.2,68.6,0.5,10.6,0.2,2.7,FAILED,0.5,0.2,2.6,31.8,0.8,FAILED,FAILED,0.4,1
16384,7.4,325.6,257.4,658.1,295.3,1.5,47.1,0.5,5.5,FAILED,0.7,0.6,5.6,119.8,3.8,FAILED,FAILED,3.5,2.8
32768,21,1410.2,1150.4,2432.8,1422.1,4,191,2,11.9,FAILED,2.3,1.7,10.8,404,12.5,FAILED,FAILED,7.8,8.9
65536,32.8,6015.1,4666.5,9909.5,5906.2,8.3,764.5,4.4,24.9,FAILED,4.9,3.7,24.1,1608.5,20.3,FAILED,FAILED,19.4,27.2
131072,90.3,24492.8,19295.8,38799.1,23929.6,17.9,3002.9,10.8,49.8,FAILED,10.3,8.4,47.5,6566.5,44.8,FAILED,FAILED,46.6,65.7
262144,167.3,102715.3,78277.8,133026,100467.6,41.5,11847.2,21.3,106.4,FAILED,21.4,17.9,94.5,25710.9,104.5,FAILED,FAILED,89.7,207.6
524288,311,110.6,43.3,219.9,FAILED,44.8,39.3,193.1,335.4,FAILED,FAILED,194.2,610.7
1048576,562.6,277.3,95.5,445.5,FAILED,95.2,84.1,362.2,861,FAILED,FAILED,337.1,1488.9
2097152,1541.3,542.4,195.2,874.4,FAILED,198.1,171.5,774.8,2423.2,FAILED,FAILED,844.9,3721.7
4194304,FAILED,1368.1,413.5,1810.9,FAILED,416.5,362.2,1466.2,FAILED,FAILED,FAILED,FAILED,9478.4
8388608,FAILED,3256,839.4,3728.8,FAILED,863.5,757.3,2942.9,FAILED,FAILED,FAILED,FAILED,24090.2
16777216,FAILED,7982.7,1792.7,7545.8,FAILED,1787.1,1555.5,5771.2,FAILED,FAILED,FAILED,FAILED,45996.8
33554432,FAILED,21446.1,3794.4,16191.8,FAILED,3659.5,3295.2,11490.1,FAILED,FAILED,FAILED,FAILED,108391.3
67108864,FAILED,50567.2,7674.1,34538.7,FAILED,7539.6,6805.7,23200.3,FAILED,FAILED,FAILED,FAILED,FAILED
134217728,FAILED,FAILED,15660.3,FAILED,FAILED,15715,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
268435456,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED

Random
n,BlockSort,BubbleSort,CocktailShakerSort,CycleSort,ExchangeSort,HeapSort,InsertionSort,IntroSort,MergeSort,PatienceSort,QuickSortHoare,QuickSortLomuto,RadixSort,SelectionSort,ShellSort,SmoothSort,StrandSort,TimSort,TreeSort
16,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0.1
128,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0.1,0,0,0
256,0,0.2,0,0.2,0,0,0.1,0,0.1,0.1,0,0,0,0,0,0.2,0.1,0,0
512,0,0.1,0.2,0.5,0.1,0.1,0,0,0,0,0.1,0,0.1,0,0.1,0.1,0.1,0,0.2
1024,0,0.5,0.6,1.5,0.1,0,0.2,0,0.1,0,0,0.1,0.3,0.5,0,0.5,0.3,0,0.1
2048,0.2,3.3,3.1,7.9,2.8,0.1,0.7,0.1,0.5,0.4,0.2,0,0.4,1.2,0.3,2.1,16.2,0.1,0.5
4096,0.2,15.9,13.4,34.8,14.3,0.1,2.7,0,1.1,0.8,0.2,0.2,0.9,6.2,0.6,8.2,37.3,0.1,1
8192,1.3,69.4,57.8,141.8,69.6,0.4,10.6,0.7,2.8,FAILED,0.6,0.5,1.9,27,0.7,FAILED,FAILED,0.3,1.4
16384,4.3,326.1,255.2,562.5,319.7,1.4,54.2,0.7,5.8,FAILED,1,0.5,5.4,101.8,2.1,FAILED,FAILED,1.8,4
32768,9.4,1407.6,1083.1,2416.4,1453,3.9,190.1,1.9,11.7,FAILED,1.9,1.5,11.5,423.8,11.6,FAILED,FAILED,5.5,8.9
65536,27.2,6020.6,4534.6,10229.1,6137.5,8.3,716,4.6,24.1,FAILED,4.9,3.4,23.6,1573.4,17,FAILED,FAILED,10.4,21.9
131072,46.6,24421,19416.4,38940.3,24166.7,18.1,2943.6,10.1,51.5,FAILED,10.2,7.8,45.4,6500.8,50.1,FAILED,FAILED,26,99.4
262144,110.7,102539.1,78066.8,FAILED,100461.7,39.4,12184.2,21.4,101.2,FAILED,21.4,17.8,95.4,25859.9,123.9,FAILED,FAILED,64.1,223.7
524288,312.1,85.7,44.1,215.1,FAILED,46.4,38.3,188.7,381.7,FAILED,FAILED,188.6,649.2
1048576,719.9,208.2,94.6,468.7,FAILED,94.3,84,357,931.1,FAILED,FAILED,357.8,1687.1
2097152,1800.7,627.2,200.3,897.5,FAILED,197.3,170.2,744.3,2393.3,FAILED,FAILED,832.6,4085.7
4194304,FAILED,1322.2,418,1793.2,FAILED,408.5,357.2,1461.1,FAILED,FAILED,FAILED,FAILED,9368.1
8388608,FAILED,3241.2,871,3723.2,FAILED,846.9,757,2912.8,FAILED,FAILED,FAILED,FAILED,21866.4
16777216,FAILED,8035.8,1766.9,7551,FAILED,1766.4,1564.6,5790.5,FAILED,FAILED,FAILED,FAILED,48120.2
33554432,FAILED,21593.2,3640.3,15376.4,FAILED,3670.3,3260.9,11581.5,FAILED,FAILED,FAILED,FAILED,103506.4
67108864,FAILED,50432.8,7696.6,32526.8,FAILED,7534.4,6837.3,23165.6,FAILED,FAILED,FAILED,FAILED,FAILED
134217728,FAILED,FAILED,15648.4,66491,FAILED,15706.3,FAILED,45035.6,FAILED,FAILED,FAILED,FAILED,FAILED
268435456,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED

Reversed
n,BlockSort,BubbleSort,CocktailShakerSort,CycleSort,ExchangeSort,HeapSort,InsertionSort,IntroSort,MergeSort,PatienceSort,QuickSortHoare,QuickSortLomuto,RadixSort,SelectionSort,ShellSort,SmoothSort,StrandSort,TimSort,TreeSort
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
64,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
128,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
256,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.2
512,0,0.1,0,0.5,0.1,0,0,0,0.1,0,0,0,0.3,0,0,0.1,0.1,0,0
1024,0,0.6,0.4,1.9,0.8,0.1,0.1,0,0.1,0.1,0,0,0.3,0.5,0,0.5,0.4,0.1,0.3
2048,0.2,3,2.9,8.1,2.9,0.3,0.5,0,0.2,0.1,0,0,0.4,3.3,0.1,1.8,18.4,0.1,0.2
4096,0.1,15,12.8,36.1,13.3,0.2,2.3,0.2,1.4,0.9,0.1,0.3,1.2,10.4,0.2,8,34.2,0.3,0.4
8192,0.5,69.4,59.5,152.7,73.8,0.7,11.4,0.4,3.2,FAILED,0.5,0.3,2.4,33.5,0.5,FAILED,FAILED,0.7,1.2
16384,3.4,305.1,259.1,603,294.9,1.3,41.9,0.6,5.9,FAILED,0.7,0.6,5,116.3,1.8,FAILED,FAILED,7.3,2.8
32768,10.9,1340,1087.8,2375.8,1335.5,3.1,190.1,1.9,13.4,FAILED,2.3,1.5,10.6,434.1,6.1,FAILED,FAILED,16.6,9.5
65536,21.3,5863.7,4716.1,9703,5795.2,8.1,762.2,4.3,26.3,FAILED,4.1,3.7,23,1692.1,18,FAILED,FAILED,35.4,21.3
131072,55.8,24867.8,19335.4,37835.9,24875.2,19,3030.8,9.4,48.4,FAILED,10.1,8.2,44.9,6490.6,65.4,FAILED,FAILED,43.8,66.1
262144,129.7,103381.1,77955.6,FAILED,99243.8,38.8,12000.1,21.3,110.9,FAILED,21.5,18.8,92.5,26027.1,123.1,FAILED,FAILED,94.2,232.2
524288,298.2,98.3,45.9,218.6,FAILED,44.4,39.3,192.4,290.7,FAILED,FAILED,194.1,639.4
1048576,733.3,258.6,94.2,417.1,FAILED,94.2,83.1,349.1,819.7,FAILED,FAILED,364.7,1510.7
2097152,1370.4,574.6,195.4,898.9,FAILED,197.6,173.9,777.5,2349.5,FAILED,FAILED,700.7,3744.7
4194304,FAILED,1475.1,409.2,1814.7,FAILED,411.3,363.6,1464.3,FAILED,FAILED,FAILED,FAILED,9600.5
8388608,FAILED,3431.4,844.5,3700.2,FAILED,851.1,755.6,2951.7,FAILED,FAILED,FAILED,FAILED,22719.6
16777216,FAILED,7947.9,1784,7952.8,FAILED,1763.8,1559.1,5730.7,FAILED,FAILED,FAILED,FAILED,FAILED
33554432,FAILED,22821.2,3795.7,16242,FAILED,3655.5,3276.3,11428.8,FAILED,FAILED,FAILED,FAILED,FAILED
67108864,FAILED,49531.2,7757.9,34844.6,FAILED,7555.7,6901.7,23008.6,FAILED,FAILED,FAILED,FAILED,FAILED
134217728,FAILED,95609.5,FAILED,70235.1,FAILED,15642.6,14190.1,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
268435456,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,29246.4,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED

Sorted
n,BlockSort,BubbleSort,CocktailShakerSort,CycleSort,ExchangeSort,HeapSort,InsertionSort,IntroSort,MergeSort,PatienceSort,QuickSortHoare,QuickSortLomuto,RadixSort,SelectionSort,ShellSort,SmoothSort,StrandSort,TimSort,TreeSort
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0,0,0,0,0
256,0,0,0,0.1,0.1,0,0,0.1,0.2,0,0.1,0,0.1,0,0,0,0,0,0.2
