QuickSortLomuto,Random,16,0
QuickSortLomuto,PartiallySorted,16,0
QuickSortLomuto,Reversed,16,0
QuickSortLomuto,Sorted,16,0
QuickSortLomuto,Dupes,16,0
QuickSortLomuto,ManyDupes,16,0
QuickSortLomuto,Random,32,0
QuickSortLomuto,PartiallySorted,32,0
QuickSortLomuto,Reversed,32,0
QuickSortLomuto,Sorted,32,0
QuickSortLomuto,Dupes,32,0
QuickSortLomuto,ManyDupes,32,0
QuickSortLomuto,Random,64,0
QuickSortLomuto,PartiallySorted,64,0
QuickSortLomuto,Reversed,64,0
QuickSortLomuto,Sorted,64,0
QuickSortLomuto,Dupes,64,0
QuickSortLomuto,ManyDupes,64,0
QuickSortLomuto,Random,128,0
QuickSortLomuto,Reversed,128,0
QuickSortLomuto,PartiallySorted,128,0
QuickSortLomuto,Sorted,128,0
QuickSortLomuto,Dupes,128,0
QuickSortLomuto,Random,256,0
QuickSortLomuto,ManyDupes,128,0
QuickSortLomuto,PartiallySorted,256,0
QuickSortLomuto,Reversed,256,0.1
QuickSortLomuto,Random,512,0.1
QuickSortLomuto,PartiallySorted,512,0
QuickSortLomuto,Reversed,512,0
QuickSortLomuto,Dupes,256,0
QuickSortLomuto,Sorted,256,0
QuickSortLomuto,ManyDupes,256,0
QuickSortLomuto,Dupes,512,0
QuickSortLomuto,Random,1024,0
QuickSortLomuto,Sorted,512,0.1
QuickSortLomuto,ManyDupes,512,0
QuickSortLomuto,PartiallySorted,1024,0
QuickSortLomuto,Reversed,1024,0
QuickSortLomuto,Dupes,1024,0.2
QuickSortLomuto,Sorted,1024,0
QuickSortLomuto,ManyDupes,1024,0.1
QuickSortLomuto,Random,2048,0.1
QuickSortLomuto,PartiallySorted,2048,0
QuickSortLomuto,Reversed,2048,0.1
QuickSortLomuto,Dupes,2048,0
QuickSortLomuto,Sorted,2048,0
QuickSortLomuto,ManyDupes,2048,0.1
QuickSortLomuto,PartiallySorted,4096,0.1
QuickSortLomuto,Random,4096,0.1
QuickSortLomuto,Reversed,4096,0.1
QuickSortLomuto,Dupes,4096,0.1
QuickSortLomuto,Sorted,4096,0.2
QuickSortLomuto,ManyDupes,4096,0.2
QuickSortLomuto,PartiallySorted,8192,0.3
QuickSortLomuto,Reversed,8192,0.4
QuickSortLomuto,Dupes,8192,0.3
QuickSortLomuto,Random,8192,0.5
QuickSortLomuto,Sorted,8192,0.3
QuickSortLomuto,ManyDupes,8192,0.2
QuickSortLomuto,PartiallySorted,16384,0.6
QuickSortLomuto,Reversed,16384,0.5
QuickSortLomuto,Dupes,16384,0.6
QuickSortLomuto,ManyDupes,16384,0.8
QuickSortLomuto,Sorted,16384,0.6
QuickSortLomuto,Random,16384,0.6
QuickSortLomuto,ManyDupes,32768,1.5
QuickSortLomuto,Reversed,32768,1.5
QuickSortLomuto,Dupes,32768,1.4
QuickSortLomuto,PartiallySorted,32768,1.5
QuickSortLomuto,Sorted,32768,1.5
QuickSortLomuto,Random,32768,1.7
QuickSortLomuto,ManyDupes,65536,3.8
QuickSortLomuto,Reversed,65536,3.7
QuickSortLomuto,Dupes,65536,3.6
QuickSortLomuto,Sorted,65536,3.4
QuickSortLomuto,PartiallySorted,65536,3.3
QuickSortLomuto,Random,65536,3.8
QuickSortLomuto,ManyDupes,131072,9.1
QuickSortLomuto,Dupes,131072,9.1
QuickSortLomuto,Reversed,131072,9
QuickSortLomuto,Sorted,131072,9
QuickSortLomuto,PartiallySorted,131072,8.5
QuickSortLomuto,Random,131072,9
QuickSortLomuto,ManyDupes,262144,17.8
QuickSortLomuto,Dupes,262144,17.5
